title,author,year,genre
To Kill a Mockingbird,Harper Lee,1960,Fiction
1984,George Orwell,1949,Dystopian
The Catcher in the Rye,J.D. Salinger,1951,Coming-of-Age
Pride and Prejudice,Jane Austen,1813,Romance
The Great Gatsby,F. Scott Fitzgerald,1925,Literary
Moby-Dick,Herman Melville,1851,Adventure
The Lord of the Rings,J.R.R. Tolkien,1954-1955,Fantasy
One Hundred Years of Solitude,Gabriel García Márquez,1967,Magical
Crime and Punishment,Fyodor Dostoevsky,1866,Psychological
The Adventures of Huckleberry Finn,Mark Twain,1880,Philosophical
War and Peace,Leo Tolstoy,1877,Romance
Don Quixote,Miguel de Cervantes,1884,Adventure
The Odyssey,Homer,8th Century BCE (estimated),Epic
Wuthering Heights,Emily Brontë,1320,Epic
Anna Karenina,Leo Tolstoy,1939,Historical
Lolita,Vladimir Nabokov,1847,Gothic
The Brothers Karamazov,Fyodor Dostoevsky,1847,Gothic
Jane Eyre,Charlotte Brontë,14th Century,Poetry
Great Expectations,Charles Dickens,Various (estimated 1st century CE),Religious
Frankenstein,Mary Shelley,2003,Fantasy
Brave New World,Aldous Huxley,1603,Tragedy
Hamlet,William Shakespeare,1890,Gothic
The Picture of Dorian Gray,Oscar Wilde,2003,Supernatural
Catch-22,Joseph Heller,1937,Political
The Grapes of Wrath,John Steinbeck,1861,Thriller
The Scarlet Letter,Nathaniel Hawthorne,1922,Gothic
Ulysses,James Joyce,1922,Modernist
Dracula,Bram Stoker,1902,Satire
Middlemarch,George Eliot,1915,Adventure
Lord of the Flies,William Golding,1954,Adventure
The Bell Jar,Sylvia Plath,1963,Autobiographical
Siddhartha,Hermann Hesse,1953,Dystopian
Fahrenheit 451,Ray Bradbury,1863,Historical
The Count of Monte Cristo,Alexandre Dumas,14th Century,Adventure
The Canterbury Tales,Geoffrey Chaucer,1936,Adventure
Gone with the Wind,Margaret Mitchell,1936,Historical
Heart of Darkness,Joseph Conrad,1920,Adventure
The Sound and the Fury,William Faulkner,1719,Historical
A Tale of Two Cities,Charles Dickens,1899,Adventure
A Clockwork Orange,Anthony Burgess,1859,Dystopian
Les Misérables,Victor Hugo,1862,Historical
Tess of the d'Urbervilles,Thomas Hardy,1830,Adventure
Dubliners,James Joyce,1914,Adventure
The Iliad,Homer,1945,Epic
Animal Farm,George Orwell,1942,Political
The Stranger,Albert Camus,2011,Absurdist
The Divine Comedy,Dante Alighieri,1926,Epic
The Sun Also Rises,Ernest Hemingway,1957,Modernist
Catcher in the Rye,J.D. Salinger,1951,Fantasy
Alice's Adventures in Wonderland,Lewis Carroll,1865,Fantasy
East of Eden,John Steinbeck,1952,Adventure
The Hobbit,J.R.R. Tolkien,1939,Adventure
The Old Man and the Sea,Ernest Hemingway,1851,Adventure
Sense and Sensibility,Jane Austen,1813,Romance
Walden,Henry David Thoreau,1854,Philosophy
A Farewell to Arms,Ernest Hemingway,1899,Historical
The Jungle,Upton Sinclair,1906,Satire
The Three Musketeers,Alexandre Dumas,1883,Adventure
Treasure Island,Robert Louis Stevenson,1883,Adventure
The War of the Worlds,H.G. Wells,1898,Science
Of Mice and Men,John Steinbeck,1937,Adventure
The Odyssey,Homer,8th Century BCE (estimated),Epic
The Fountainhead,Ayn Rand,1943,Absurdist
Slaughterhouse-Five,Kurt Vonnegut,1969,Science
The Wind in the Willows,Kenneth Grahame,1908,Adventure
A Passage to India,E.M. Forster,1924,Adventure
The Metamorphosis,Franz Kafka,1875,Adventure
On the Road,Jack Kerouac,1915,Adventure
The Road,Cormac McCarthy,1957,Adventure
The Color Purple,Alice Walker,1931,Adventure
The Grapes of Wrath,John Steinbeck,1939,Historical
The Age of Innocence,Edith Wharton,1920,Gothic
Wuthering Heights,Emily Brontë,1847,Gothic
Beloved,Toni Morrison,1987,Historical
The Secret Garden,Frances Hodgson Burnett,1911,Adventure
The Arabian Nights,Anonymous,8th-14th Century (compiled),Folklore
Atlas Shrugged,Ayn Rand,1957,Philosophy
The Name of the Rose,Umberto Eco,1980,Mystery
A Portrait of the Artist as a Young Man,James Joyce,1916,Bildungsroman
The Prince,Niccolò Machiavelli,1513,Political
The Stranger,Albert Camus,1942,Absurdist
Gulliver's Travels,Jonathan Swift,1726,Satire
The Trial,Franz Kafka,1925,Science
White Fang,Jack London,1925,Thriller
Lolita,Vladimir Nabokov,1955,Psychological
Their Eyes Were Watching God,Zora Neale Hurston,1937,Southern
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,Science
Flowers for Algernon,Daniel Keyes,1959,Science
A Separate Peace,John Knowles,1966,Science
The Road,Cormac McCarthy,2006,Magical
The Kite Runner,Khaled Hosseini,1978,Post-Apocalyptic
The Stand,Stephen King,1978,Horror
A Confederacy of Dunces,John Kennedy Toole,1980,Satire
The Poisonwood Bible,Barbara Kingsolver,1998,Historical
The Sound of Waves,Yukio Mishima,1934,Adventure
Watership Down,Richard Adams,1972,Epic
The Heart is a Lonely Hunter,Carson McCullers,1940,Adventure
Rebecca,Daphne du Maurier,1938,Gothic
The Unbearable Lightness of Being,Milan Kundera,1984,Magical
The Satanic Verses,Salman Rushdie,1988,Satire
